reaction,substructure,enzyme,prior_prob,EC,refs
desulfation,aryl_sulfate_ester,arylsulfatase,0.85,EC 3.1.6.1,PMID:26188914
ester_hydrolysis,ester_bond,esterase,0.78,EC 3.1.1.-,PMID:32531366;PMID:19658402
O_demethylation,guaiacyl,demethylase,0.7,EC 1.14.13.82,PMID:31788027
O_demethylation,syringyl,demethylase,0.78,EC 1.14.13.-,PMID:31788027
O_demethylation,aromatic_methoxy,demethylase,0.45,EC 1.14.13.-,PMID:31788027
aromatic_hydroxylation,monophenol_para,oxidase,0.45,EC 1.14.18.1,PMID:11055908
side_chain_cleavage,vinyl_aromatic,oxidase,0.4,EC 1.13.11.-,PMID:33260964
aldehyde_oxidation,aromatic_aldehyde,oxidase,0.72,EC 1.2.1.-,PMID:33260964;PMID:31788027
decarboxylation,pyrogallol,decarboxylase,0.6,EC 4.1.1.59,PMID:23645198;PMID:30054365
decarboxylation,benzoic_acid,decarboxylase,0.3,EC 4.1.1.-,PMID:30054365
methylation,catechol,methyltransferase,0.5,EC 2.1.1.-,PMID:31788027
deglycosylation,aryl_O_glycoside,glycosidase,0.75,EC 3.2.1.-,PMID:19658402
ring_cleavage,catechol,dioxygenase,0.5,EC 1.13.11.3,PMID:11055908;PMID:31540981
ring_cleavage,flavone_core,dioxygenase,0.28,EC 1.13.11.-,PMID:31540981
reduction,vinyl_aromatic,reductase,0.2,EC 1.3.1.-,PMID:33260964
