strain_id,strain_name,genus,family,phylum,class_tax,role,capabilities,habitat
S01,Pseudoalteromonas tetraodonis,Pseudoalteromonas,Pseudoalteromonadaceae,Pseudomonadota,Gammaproteobacteria,primary,arylsulfatase;esterase;oxidase;dioxygenase;demethylase,marine
S02,Marinomonas posidonica,Marinomonas,Oceanospirillaceae,Pseudomonadota,Gammaproteobacteria,primary,esterase;oxidase;decarboxylase;glycosidase;reductase,marine
S03,Vibrio splendidus,Vibrio,Vibrionaceae,Pseudomonadota,Gammaproteobacteria,primary,esterase;glycosidase;decarboxylase,marine
S04,Marinobacter adhaerens,Marinobacter,Marinobacteraceae,Pseudomonadota,Gammaproteobacteria,primary,esterase;oxidase;dioxygenase;demethylase,marine
S05,Pseudomonas marina,Pseudomonas,Pseudomonadaceae,Pseudomonadota,Gammaproteobacteria,primary,demethylase;decarboxylase;oxidase;dioxygenase;methyltransferase,marine
S06,Sulfitobacter pontiacus,Sulfitobacter,Rhodobacteraceae,Pseudomonadota,Alphaproteobacteria,primary,arylsulfatase;esterase;oxidase;methyltransferase,marine
S07,Phaeobacter inhibens,Phaeobacter,Rhodobacteraceae,Pseudomonadota,Alphaproteobacteria,primary,arylsulfatase;esterase;oxidase;dioxygenase,marine
S08,Ruegeria pomeroyi,Ruegeria,Rhodobacteraceae,Pseudomonadota,Alphaproteobacteria,primary,arylsulfatase;demethylase;esterase;oxidase,marine
S09,Zobellia galactanivorans,Zobellia,Flavobacteriaceae,Bacteroidota,Flavobacteriia,primary,arylsulfatase;glycosidase;esterase,marine
S10,Maribacter dokdonensis,Maribacter,Flavobacteriaceae,Bacteroidota,Flavobacteriia,primary,arylsulfatase;glycosidase;esterase,marine
S11,Polaribacter dokdonensis,Polaribacter,Flavobacteriaceae,Bacteroidota,Flavobacteriia,primary,glycosidase;esterase,marine
S12,Novosphingobium pentaromativorans,Novosphingobium,Sphingomonadaceae,Pseudomonadota,Alphaproteobacteria,primary,demethylase;dioxygenase;oxidase;esterase,marine
S13,Erythrobacter litoralis,Erythrobacter,Erythrobacteraceae,Pseudomonadota,Alphaproteobacteria,primary,oxidase;demethylase;esterase,marine
S14,Microbacterium maritypicum,Microbacterium,Microbacteriaceae,Actinomycetota,Actinomycetes,primary,oxidase;demethylase;decarboxylase;esterase,marine
S15,Bacillus marisflavi,Bacillus,Bacillaceae,Bacillota,Bacilli,primary,esterase;oxidase;decarboxylase;reductase,marine
S16,Pseudoalteromonas haloplanktis,Pseudoalteromonas,Pseudoalteromonadaceae,Pseudomonadota,Gammaproteobacteria,expansion,arylsulfatase;esterase;oxidase,marine
S17,Cobetia marina,Cobetia,Halomonadaceae,Pseudomonadota,Gammaproteobacteria,expansion,esterase;oxidase,marine
S18,Alteromonas macleodii,Alteromonas,Alteromonadaceae,Pseudomonadota,Gammaproteobacteria,expansion,esterase;dioxygenase;oxidase;demethylase,marine
S19,Roseobacter denitrificans,Roseobacter,Rhodobacteraceae,Pseudomonadota,Alphaproteobacteria,expansion,arylsulfatase;oxidase;esterase,marine
S20,Dinoroseobacter shibae,Dinoroseobacter,Rhodobacteraceae,Pseudomonadota,Alphaproteobacteria,expansion,arylsulfatase;oxidase;methyltransferase,marine
S21,Sphingomonas sp. marine,Sphingomonas,Sphingomonadaceae,Pseudomonadota,Alphaproteobacteria,expansion,demethylase;dioxygenase;esterase;reductase,marine
S22,Flavobacterium frigidarium,Flavobacterium,Flavobacteriaceae,Bacteroidota,Flavobacteriia,expansion,glycosidase;esterase,marine
S23,Gramella forsetii,Gramella,Flavobacteriaceae,Bacteroidota,Flavobacteriia,expansion,arylsulfatase;glycosidase,marine
S24,Croceibacter atlanticus,Croceibacter,Flavobacteriaceae,Bacteroidota,Flavobacteriia,expansion,glycosidase;esterase,marine
S25,Pseudomonas stutzeri marine,Pseudomonas,Pseudomonadaceae,Pseudomonadota,Gammaproteobacteria,expansion,demethylase;decarboxylase;oxidase;dioxygenase,marine
S26,Vibrio tasmaniensis,Vibrio,Vibrionaceae,Pseudomonadota,Gammaproteobacteria,expansion,esterase;glycosidase,marine
S27,Glaciecola polaris,Glaciecola,Alteromonadaceae,Pseudomonadota,Gammaproteobacteria,expansion,esterase;oxidase,marine
S28,Loktanella vestfoldensis,Loktanella,Rhodobacteraceae,Pseudomonadota,Alphaproteobacteria,expansion,arylsulfatase;oxidase,marine
S29,Salinibacterium amurskyense,Salinibacterium,Microbacteriaceae,Actinomycetota,Actinomycetes,expansion,oxidase;demethylase;esterase,marine
S30,Planococcus maritimus,Planococcus,Planococcaceae,Bacillota,Bacilli,expansion,esterase;oxidase;decarboxylase;reductase,marine
T01,Pseudomonas putida KT2440,Pseudomonas,Pseudomonadaceae,Pseudomonadota,Gammaproteobacteria,reference,demethylase;dioxygenase;oxidase;decarboxylase;esterase,terrestrial
T02,Rhodococcus jostii RHA1,Rhodococcus,Nocardiaceae,Actinomycetota,Actinomycetes,reference,demethylase;dioxygenase;oxidase;decarboxylase,terrestrial
T03,Sphingomonas paucimobilis SYK-6,Sphingomonas,Sphingomonadaceae,Pseudomonadota,Alphaproteobacteria,reference,demethylase;dioxygenase;esterase;oxidase,terrestrial
T04,Acinetobacter baylyi ADP1,Acinetobacter,Moraxellaceae,Pseudomonadota,Gammaproteobacteria,reference,dioxygenase;oxidase;decarboxylase;demethylase,terrestrial
T05,Bacillus subtilis,Bacillus,Bacillaceae,Bacillota,Bacilli,reference,esterase;oxidase;decarboxylase,terrestrial
T06,Lactiplantibacillus plantarum,Lactiplantibacillus,Lactobacillaceae,Bacillota,Bacilli,reference,esterase;decarboxylase;reductase;glycosidase,terrestrial
T07,Escherichia coli,Escherichia,Enterobacteriaceae,Pseudomonadota,Gammaproteobacteria,reference,esterase;decarboxylase,terrestrial
T08,Streptomyces coelicolor,Streptomyces,Streptomycetaceae,Actinomycetota,Actinomycetes,reference,oxidase;demethylase;glycosidase,terrestrial
T09,Corynebacterium glutamicum,Corynebacterium,Corynebacteriaceae,Actinomycetota,Actinomycetes,reference,demethylase;dioxygenase;oxidase,terrestrial
T10,Comamonas testosteroni,Comamonas,Comamonadaceae,Pseudomonadota,Betaproteobacteria,reference,dioxygenase;oxidase;demethylase,terrestrial
T11,Eubacterium ramulus,Eubacterium,Eubacteriaceae,Bacillota,Clostridia,reference,glycosidase;reductase;decarboxylase,terrestrial
