compound_id,smiles,phenol,catechol,pyrogallol,gentisate_25_diol,guaiacyl,syringyl,aromatic_methoxy,monophenol_para,carboxylic_acid,benzoic_acid,aromatic_aldehyde,vinyl_aromatic,ester_bond,aryl_O_glycoside,aryl_sulfate_ester,flavone_core,reducible_double_bond
C01,O=C(O)/C=C/c1ccccc1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
C02,O=C(O)/C=C/c1ccc(O)cc1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
C03,O=C(O)/C=C/c1ccc(O)c(O)c1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
C04,COc1cc(/C=C/C(=O)O)ccc1O,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1
C05,O=C(O)C(O)C(OC(=O)/C=C/c1ccc(O)c(O)c1)C(=O)O,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1
C06,O=C(O)C(Cc1ccc(O)c(O)c1)OC(=O)/C=C/c1ccc(O)c(O)c1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1
C07,O=C(O)c1ccc(O)cc1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
C08,O=C(O)c1ccc(O)c(O)c1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
C09,O=C(O)c1cc(O)ccc1O,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
C10,COc1cc(C(=O)O)ccc1O,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0
C11,COc1cc(C(=O)O)cc(OC)c1O,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
C12,OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
C13,COc1cc(C=O)ccc1O,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
C14,O=Cc1ccc(O)cc1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
C15,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
C16,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
C17,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1O,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
C18,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
C19,O=C(O)/C=C/c1ccc(OS(=O)(=O)O)cc1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
C20,O=c1cc(-c2ccc(O)cc2)oc2cc(OS(=O)(=O)O)cc(O)c12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
H01,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(OS(=O)(=O)O)cc(O)c12,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
H02,COc1ccc(cc1O)C1CC(=O)c2c(O)cc(OS(=O)(=O)O)cc2O1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
H03,COc1cc(/C=C/C(=O)O)cc(OC)c1O,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1
H04,COc1cc(C=O)cc(-c2cc(C=O)cc(OC)c2O)c1O,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
H05,O=C(O)C(OC(=O)/C=C/c1ccc(O)c(O)c1)C(OC(=O)/C=C/c1ccc(O)c(O)c1)C(=O)O,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1
H06,C[S+](C)CCC(=O)[O-],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T02,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1
T03,COc1cc(/C=C/CO)ccc1O,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
T04,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
T05,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
T06,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
T07,OC1Cc2c(O)cc(O)cc2O[C@@H]1c1ccc(O)c(O)c1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
T08,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
T09,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
T10,OCCc1ccc(O)c(O)c1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
T11,OCCc1ccc(O)cc1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
T12,COc1cc(C=O)cc(OC)c1O,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
