source,evidence,compound_id,compound_name,smiles,provenance,origin,scaffold,pillar,class_id,strain_id,strain_name,strain_genus,strain_phylum,habitat,role,weight,replicate_id,cv_group,phenol,catechol,gentisate_25_diol,guaiacyl,syringyl,aromatic_methoxy,monophenol_para,carboxylic_acid,benzoic_acid,aromatic_aldehyde,vinyl_aromatic,ester_bond,aryl_O_glycoside,aryl_sulfate_ester,flavone_core,y_O_demethylation,y_aldehyde_oxidation,y_aromatic_hydroxylation,y_decarboxylation,y_deglycosylation,y_desulfation,y_ester_hydrolysis,y_methylation,y_reduction,y_ring_cleavage,y_side_chain_cleavage,y_none,w_O_demethylation,w_aldehyde_oxidation,w_aromatic_hydroxylation,w_decarboxylation,w_deglycosylation,w_desulfation,w_ester_hydrolysis,w_methylation,w_reduction,w_ring_cleavage,w_side_chain_cleavage,w_none
project_primary,simulated,C01,trans-Cinnamic acid,O=C(O)/C=C/c1ccccc1,PubChem:444539,seagrass_marine,cinnamic,Cinnamic,0,S01,Pseudoalteromonas tetraodonis,Pseudoalteromonas,Pseudomonadota,marine,primary,1.0,1,C01,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
project_primary,simulated,C01,trans-Cinnamic acid,O=C(O)/C=C/c1ccccc1,PubChem:444539,seagrass_marine,cinnamic,Cinnamic,0,S01,Pseudoalteromonas tetraodonis,Pseudoalteromonas,Pseudomonadota,marine,primary,1.0,2,C01,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
project_primary,simulated,C01,trans-Cinnamic acid,O=C(O)/C=C/c1ccccc1,PubChem:444539,seagrass_marine,cinnamic,Cinnamic,0,S01,Pseudoalteromonas tetraodonis,Pseudoalteromonas,Pseudomonadota,marine,primary,1.0,3,C01,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
project_primary,simulated,C02,p-Coumaric acid,O=C(O)/C=C/c1ccc(O)cc1,PubChem:637542,seagrass_marine,cinnamic,Hydroxycinnamic,0,S01,Pseudoalteromonas tetraodonis,Pseudoalteromonas,Pseudomonadota,marine,primary,1.0,1,C02,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
project_primary,simulated,C02,p-Coumaric acid,O=C(O)/C=C/c1ccc(O)cc1,PubChem:637542,seagrass_marine,cinnamic,Hydroxycinnamic,0,S01,Pseudoalteromonas tetraodonis,Pseudoalteromonas,Pseudomonadota,marine,primary,1.0,2,C02,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
project_primary,simulated,C02,p-Coumaric acid,O=C(O)/C=C/c1ccc(O)cc1,PubChem:637542,seagrass_marine,cinnamic,Hydroxycinnamic,0,S01,Pseudoalteromonas tetraodonis,Pseudoalteromonas,Pseudomonadota,marine,primary,1.0,3,C02,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
project_primary,simulated,C03,Caffeic acid,O=C(O)/C=C/c1ccc(O)c(O)c1,ChEMBL:CHEMBL145,seagrass_marine,cinnamic,Hydroxycinnamic,0,S01,Pseudoalteromonas tetraodonis,Pseudoalteromonas,Pseudomonadota,marine,primary,1.0,1,C03,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
project_primary,simulated,C03,Caffeic acid,O=C(O)/C=C/c1ccc(O)c(O)c1,ChEMBL:CHEMBL145,seagrass_marine,cinnamic,Hydroxycinnamic,0,S01,Pseudoalteromonas tetraodonis,Pseudoalteromonas,Pseudomonadota,marine,primary,1.0,2,C03,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
project_primary,simulated,C03,Caffeic acid,O=C(O)/C=C/c1ccc(O)c(O)c1,ChEMBL:CHEMBL145,seagrass_marine,cinnamic,Hydroxycinnamic,0,S01,Pseudoalteromonas tetraodonis,Pseudoalteromonas,Pseudomonadota,marine,primary,1.0,3,C03,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
project_primary,simulated,C04,Ferulic acid,COc1cc(/C=C/C(=O)O)ccc1O,ChEMBL:CHEMBL32749,seagrass_marine,cinnamic,Hydroxycinnamic,0,S01,Pseudoalteromonas tetraodonis,Pseudoalteromonas,Pseudomonadota,marine,primary,1.0,1,C04,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
