,O_demethylation,aldehyde_oxidation,aromatic_hydroxylation,decarboxylation,deglycosylation,desulfation,ester_hydrolysis,methylation,reduction,ring_cleavage,side_chain_cleavage
phenol,0.013334178834644739,0.0040362246371814315,0.11335259961581774,0.004908083240799326,0.0027216393715733147,0.016001820674835188,0.009639028316488002,0.012310737327396798,0.006542395164774008,0.021448362061184004,0.003457222398954799
catechol,0.0744505047365092,0.06300402235957818,0.026208979970029987,0.00596926666626204,0.02923814576135416,0.010242479451351302,0.17452820018034976,0.44132488562560057,0.014620574519735979,0.3180014944470698,0.008754679725577702
gentisate_25_diol,0.0021891195343417833,0.0004875892415635572,0.004995877871519722,0.010314050638559634,3.6044788510154634e-05,4.5270934103816455e-15,6.254943661910692e-16,0.0034776918722399333,0.0016518693756069726,0.004427373582594845,0.005541018694707987
guaiacyl,0.3301933558221047,0.04330868433978081,0.009661846054538613,0.0015634073218035644,0.03584978539241888,0.019405350565600006,0.02500741435577162,0.06688724531332503,0.019279124817818873,0.04927308726525808,0.007399613088999504
syringyl,0.03768380244136039,0.005195547080602043,0.015606164643201423,0.004997663203270675,0.0018563229993468473,0.007666009625087845,0.005077007009859286,0.0025140672489370993,0.011352705778088612,0.00555352375467598,0.004021368745679028
aromatic_methoxy,0.3362524547990292,0.06738451228291759,0.012299643567113522,0.004442346096630792,0.047977446898447816,0.01532257143089341,0.03893086993732713,0.058549670907394616,0.018922198377046204,0.04965907283761107,0.005943562529200737
monophenol_para,0.00149956686366194,0.019901659353141796,0.137698984232722,0.007049704532351407,0.00254171777843227,0.08301510373337678,0.012809716270226137,0.014758118758592299,0.010215749842453022,0.018014531428253718,0.005247128123774665
carboxylic_acid,0.0006015679268385653,0.11063049655410302,0.015008707822070899,0.16387228185627173,0.08236125691275886,0.025269667540394274,0.1443431932701876,0.004996696489155183,0.08816526197685604,0.01607534485130315,0.11539025397237072
benzoic_acid,0.0003244667687327225,0.017376213826800154,0.010033734996665666,0.5181610324587043,0.008168715316393441,0.020405920953001946,0.012639183390433207,0.004073329611164932,0.03638424834488656,0.00624692768349175,0.07164660228976477
aromatic_aldehyde,0.01234419742393752,0.45357134585537423,0.010453707585457913,0.014245426680199676,0.006094739078567794,0.011803738003650506,0.0035062135083826487,0.01051414375001051,0.015225545354407436,0.02231477710213812,0.020013201058556696
vinyl_aromatic,0.0008577092062415862,0.07500119033540914,0.01623125056886801,0.12433046906060713,0.05409779552928951,0.016364675789748935,0.19120866777690657,0.0024749152988233613,0.3542736864569325,0.010645867074092966,0.509362471647278
ester_bond,0.012256380227003679,0.002732681470529368,0.009891748723641841,0.012888373122618748,0.00715151212172568,0.01374116104805141,0.32535763127682843,0.009527565967646805,0.024423803413475432,0.012897994058812454,0.018381522233883445
aryl_O_glycoside,0.004535134561809026,0.007386074602438962,0.009821745007114548,0.0017768724580536366,0.5657067090221235,0.019661279251870657,0.0016331150111503678,0.0032114777096844235,0.002219306719619556,0.004772498692195635,0.005657100629713515
aryl_sulfate_ester,0.0006967845099017258,0.013523544108558189,0.028803019929099016,0.005865540408597507,0.011967214970488157,0.5323450168042985,0.0053319955405231965,0.001309092326477471,0.02247489604402574,0.009136266363150467,0.007233693714228372
flavone_core,0.0031471175483027245,0.06008173621021764,0.018055578901676788,0.03361866419071381,0.053251834526431355,0.08457421556809011,0.0372787515931494,0.012845608682128995,0.0520649183827371,0.1230302303468732,0.06964856082100027
phylum_Actinomycetota,0.02125359564055393,0.0026521298007971257,0.04886185540500288,0.0054410491157755965,0.0050848934534734455,0.01709792290563252,0.004745284268514443,0.013698508614903614,0.027696904949283663,0.02526439541798694,0.010520850734977669
phylum_Bacillota,0.043101210275874755,0.0030415794966031705,0.04606577158010195,0.01947036940763808,0.006881871057896839,0.017382661434634804,0.0018244797198519347,0.014294945073230945,0.14499846240564873,0.05760151408944093,0.01204784457389958
phylum_Bacteroidota,0.07471386630002755,0.04425768395356434,0.32894393481030193,0.04536190217241581,0.03168061635190209,0.008357602043207412,0.00011119128192997561,0.051449941639782004,0.04784904503466634,0.06956112488073674,0.09265094993932958
phylum_Pseudomonadota,0.026302722383797574,0.005065223666364138,0.09468553817114735,0.007401457278628735,0.02619817125988434,0.006133370914254237,0.0008535738218265283,0.15802368838665248,0.055482154228951676,0.10206905919267359,0.018095750658679095
habitat_marine,0.002237846609111125,0.0007670695241323458,0.019255302152353337,0.004634283400818792,0.011879423586233765,0.03389760285147457,0.002844079198821293,0.05484632734863867,0.018803209089860873,0.03480534357938768,0.004613552953692911
habitat_terrestrial,0.002024417586215578,0.0005947913003426782,0.024064008391554818,0.003687756689278995,0.009254143822747965,0.04131182941054104,0.0023304042714717634,0.05891134204821429,0.027353939723124596,0.039201211291068926,0.00437305146573099
