label,support,n_compounds,f1_group,pr_auc_group,roc_auc_group,precision_group,recall_group
O_demethylation,470,10,0.671,0.662,0.958,0.505,1.0
aldehyde_oxidation,278,4,0.681,0.659,0.983,0.641,0.727
aromatic_hydroxylation,1369,33,0.558,0.413,0.69,0.397,0.934
decarboxylation,85,5,0.268,0.278,0.951,0.157,0.929
deglycosylation,94,3,0.441,0.585,0.986,0.328,0.67
desulfation,114,4,0.282,0.267,0.955,0.192,0.526
ester_hydrolysis,280,4,0.749,0.674,0.983,0.598,1.0
methylation,72,13,0.169,0.09,0.922,0.092,1.0
reduction,38,12,0.091,0.052,0.841,0.049,0.553
ring_cleavage,387,17,0.414,0.403,0.908,0.268,0.904
side_chain_cleavage,445,12,0.498,0.347,0.902,0.358,0.816
