,O_demethylation,aldehyde_oxidation,aromatic_hydroxylation,decarboxylation,deglycosylation,desulfation,ester_hydrolysis,methylation,reduction,ring_cleavage,side_chain_cleavage
phenol,0.043626167223056504,0.10651581605911782,0.13342088581950376,0.07308164319841953,0.047319711878939304,0.06600606320391485,0.06819684503768955,0.1510763650254294,0.04486615387507205,0.2194285149141428,0.019325550282487454
catechol,0.06425325768869485,0.0441610377845477,0.020965415756311327,0.003121520999360941,0.0330355716780555,0.008204670745159614,0.16428444408014944,0.364051384600207,0.01141624908240027,0.23284840257295197,0.01298532175781739
gentisate_25_diol,0.0018594955021142654,0.0005249110910441638,0.003276703946846102,0.006990960746695696,0.00025492098591889227,0.001041511877094592,0.00011839706418378253,0.0053759443125745415,0.0013701145700743451,0.00953702342293105,0.005149256076059299
guaiacyl,0.2570049025551814,0.03177522227303096,0.016961682402725567,0.002412877036865424,0.036326504645797536,0.020024183811124963,0.018904243048232097,0.05231711755256091,0.018542305597621295,0.02975597138360837,0.0062799667330186906
syringyl,0.03315984044367174,0.0030513156248146186,0.0051191680984247956,0.0011087661774138574,0.0011575310168564562,0.004410849372264731,0.0024080798740128153,0.0009944521766684716,0.00499832722904678,0.0025970356761049972,0.0011065261488287558
aromatic_methoxy,0.3892682195001275,0.07148337915799746,0.015100195131719795,0.0026381106242614975,0.047177196494224215,0.01567908521325931,0.02786300102569565,0.036963676181340534,0.018868149937621433,0.038410145621002166,0.007130024128161653
monophenol_para,0.011958607309756241,0.025086772855783347,0.14597845900588646,0.033013127393774,0.006966306649169172,0.13411596347354088,0.007400225757620964,0.01465389839337587,0.01857522720742851,0.016904608698558587,0.016783795780791314
carboxylic_acid,0.002223225229947351,0.10864178927077234,0.02035412675837382,0.14154437297079123,0.08381159062508176,0.019842774531751765,0.13539345677530168,0.006121551352804989,0.08807481168306718,0.006873211317050003,0.11610226864957322
benzoic_acid,0.0005131940971343119,0.019709598288032096,0.009142482238360044,0.49475514719654273,0.006241913759937675,0.023476426939192992,0.009386263252433084,0.003386415659299588,0.035526111987046936,0.004108025969011233,0.06578500524957757
aromatic_aldehyde,0.011175492534301891,0.4285504702811316,0.01085161333834989,0.011309366074096354,0.008412945250871823,0.012625982815875755,0.0024067295677623482,0.004006429091648666,0.01728245040828109,0.01064049203639977,0.015772294516777512
vinyl_aromatic,0.0012725487391167585,0.05771662224587453,0.017033310837042175,0.1116329164165237,0.04769372141402179,0.013728149001400337,0.19316816038880777,0.0035949280772495365,0.3347690568744676,0.007180113169217707,0.5075282751793051
ester_bond,0.007174118069902818,0.00036928422751241217,0.00923513679110133,0.010243052216949235,0.003081665556250076,0.008090324526853434,0.30976650603301353,0.00656967796786358,0.028739044640488563,0.01005121354834484,0.016362722151381678
aryl_O_glycoside,0.0050308892835651845,0.0076360506608787555,0.010765651911280443,0.0023545865951301826,0.5272908032683552,0.015837436153204716,0.0017937251112133392,0.00430123385386236,0.0018569325045454555,0.002349984082073903,0.004427515574341569
aryl_sulfate_ester,0.0007991632039637537,0.011831222191916891,0.024154817063809984,0.00471118122989533,0.012491167933869228,0.4899659713575581,0.003706435346218108,0.0010790284677011932,0.019911348472973035,0.004780204935627991,0.007106609869411649
flavone_core,0.002092022906472943,0.0283048051080158,0.020633963355640324,0.016177960926085432,0.0521872152273745,0.05741560935771849,0.042344921897652224,0.007318177640629471,0.04571304584160043,0.0820034468563384,0.053315941035711904
phylum_Actinomycetota,0.020037658246714513,0.002368675711056246,0.04671372418634999,0.007186864622645691,0.005565960908618484,0.013614908141827966,0.0051563176870705095,0.01824833911174788,0.022738378759920914,0.025652198856225716,0.013981746721044581
phylum_Bacillota,0.04394518503161072,0.004877356605583072,0.05199233344912,0.014566119241106555,0.005441611243736977,0.012056226629599457,0.0017398745466963028,0.015851195853553695,0.14155132098772383,0.05653483490019778,0.012992019838243059
phylum_Bacteroidota,0.07297862277636594,0.04027501154069754,0.289410663624425,0.0464008643224652,0.03421302148874091,0.005350916755032063,0.00013636555759974234,0.0532370010107532,0.04646613744557776,0.07650433090944217,0.0895446831325462
phylum_Pseudomonadota,0.02695453657531107,0.005337234473537268,0.0960874562516797,0.008016000844036749,0.02086463939111701,0.0053477944791977755,0.0014064662793381497,0.14732588456856138,0.05218790702040993,0.09614924511480277,0.015830043072683996
habitat_marine,0.002138076621323541,0.0009475745500528867,0.02547627250721346,0.0048554350592315354,0.009535686372353693,0.0332775398203473,0.0016941848771826781,0.0676631018102529,0.02294324857560964,0.032656526861874154,0.0068001962860380575
habitat_terrestrial,0.002534776461666886,0.0008358499986023248,0.02732593752583608,0.003879126107709116,0.010930314210709759,0.039887611794080874,0.0027253567921263076,0.035864197291914916,0.02360367729902307,0.03503446915409371,0.0056902378161993745
