label,support,n_compounds,f1_group,pr_auc_group,roc_auc_group,precision_group,recall_group
O_demethylation,470,10,0.67,0.659,0.957,0.516,0.955
aldehyde_oxidation,278,4,0.681,0.654,0.983,0.641,0.727
aromatic_hydroxylation,1369,33,0.555,0.411,0.686,0.396,0.923
decarboxylation,85,5,0.266,0.288,0.95,0.156,0.906
deglycosylation,94,3,0.305,0.426,0.982,0.302,0.309
desulfation,114,4,0.172,0.249,0.953,0.128,0.263
ester_hydrolysis,280,4,0.661,0.647,0.981,0.494,1.0
methylation,72,13,0.169,0.094,0.923,0.092,1.0
reduction,38,12,0.088,0.038,0.821,0.049,0.447
ring_cleavage,387,17,0.425,0.419,0.912,0.274,0.943
side_chain_cleavage,445,12,0.507,0.332,0.901,0.366,0.825
