label,prevalence_sealed,n_pos,PR_AUC,lift,ROC_AUC,mean_conf_pos,mean_conf_neg
O_demethylation,0.192,145,0.634,3.31,0.919,0.778,0.166
aldehyde_oxidation,0.091,69,0.649,7.11,0.973,0.555,0.087
aromatic_hydroxylation,0.225,170,0.449,2.0,0.803,0.57,0.332
decarboxylation,0.0,0,,,,,0.021
deglycosylation,0.0,0,,,,,0.033
desulfation,0.074,56,0.371,5.0,0.927,0.499,0.079
ester_hydrolysis,0.093,70,0.662,7.14,0.97,0.94,0.07
methylation,0.017,13,0.105,6.09,0.926,0.685,0.101
reduction,0.011,8,0.13,12.27,0.92,0.355,0.048
ring_cleavage,0.063,48,0.316,4.98,0.926,0.731,0.194
side_chain_cleavage,0.099,75,0.31,3.12,0.886,0.685,0.197
none,0.435,329,0.819,1.88,0.831,0.603,0.309
