label,support,brier_raw,brier_calibrated,improvement
O_demethylation,470,0.0694,0.0577,0.0117
aldehyde_oxidation,278,0.0259,0.0259,0.0
aromatic_hydroxylation,1369,0.2143,0.1813,0.033
decarboxylation,85,0.0513,0.0493,0.002
deglycosylation,94,0.0225,0.0225,0.0
desulfation,114,0.0002,0.0002,0.0
ester_hydrolysis,280,0.0422,0.0398,0.0024
methylation,72,0.101,0.0144,0.0866
reduction,38,0.0464,0.0289,0.0175
ring_cleavage,387,0.1144,0.0593,0.0551
side_chain_cleavage,445,0.1201,0.0923,0.0278
none,2091,0.2072,0.2093,-0.0021
