,O_demethylation,aldehyde_oxidation,aromatic_hydroxylation,decarboxylation,deglycosylation,desulfation,ester_hydrolysis,methylation,reduction,ring_cleavage,side_chain_cleavage
phenol,0.002033556405252417,0.0011719266411607185,0.061204547217083564,0.004743949068198678,3.1422215350676844e-05,0.0021734815714027616,0.0014436800550434628,0.002481068249156967,0.00439199522207685,0.006229748109363605,0.002165759335475748
catechol,0.029616647326908926,0.025115000803558832,0.007637807601566302,0.0007952548545361074,0.009205084521974834,0.005309163638670346,0.06856453330922345,0.2815477677783086,0.005726641373962949,0.1672706171095625,0.002293615628432558
gentisate_25_diol,3.39798990121851e-16,0.0,0.0017965236050498708,0.001703968806689451,0.0003062173624676869,1.342043337365261e-15,8.720411386652551e-17,0.0005081479713638869,4.772546239691131e-16,0.001141376027818402,0.0012652588727583612
guaiacyl,0.13563133608584949,0.018919835091623146,0.005975460056747787,0.00036209751377340335,0.011544156182069974,0.001506520332157288,0.002437083489104902,0.020309121565684,0.004531200001208872,0.023457016147474773,0.0012996342886000762
syringyl,0.008587249635752204,0.00018178471384520289,0.0028197377551570308,0.0004447714250602033,1.4990300606148143e-16,0.0017424316333664348,0.0,0.0,0.0028874274494919278,4.011775891558868e-05,0.0007312627944863065
aromatic_methoxy,0.1182013742657922,0.010959019099101935,0.0038296377561714743,0.0009632324813055122,0.017744397840533065,0.0034734006062087917,0.0148042871645165,0.028472694469131418,0.012101747343108047,0.01649393812786535,0.005068471907675845
monophenol_para,6.5213972762584e-05,0.002833245565078966,0.05211406649103254,0.0013755075365547492,0.002027772019766617,0.0349060071474408,0.0014980367713857672,0.003578501458760768,0.004211841189992959,0.0056556205051084925,0.0009962034063107006
carboxylic_acid,0.0006358107607317481,0.05097752215528144,0.006032386659512049,0.10276409048420827,0.06346350247145173,0.002293674376200611,0.02887238755485556,0.0026969323281836695,0.043984374700509914,0.0031530195542663116,0.06612078262618665
benzoic_acid,0.0003827451902861477,0.004668373051021679,0.0036766182643511707,0.2709838159559403,0.0010275882999412702,0.011079196121401904,0.004755530668313959,0.0003093465938900756,0.02009482455095666,0.0012388133838301116,0.047352313822950375
aromatic_aldehyde,0.004617915710284556,0.40863259194301604,0.004244630509987775,0.0015062143960784184,0.0021217845298324555,0.004310326338933102,0.0,0.0021247570174221272,0.005871555696354143,0.002612473108600528,0.0059143438879569075
vinyl_aromatic,0.0006879247428339527,0.011986029550051602,0.0069398507158422145,0.06468076683346281,0.016731690921329184,0.0011575388813356376,0.07592116365464284,0.0010255804170518066,0.16476397930652303,0.004129795061725724,0.24918845087876587
ester_bond,0.0,0.000754514871546634,0.0038924572068534664,0.0013638453033891509,0.0013480042521664788,0.00113872242550436,0.1563305287868349,0.0037970229961675405,0.013353557748778232,0.0012383128088327073,0.010455517643368653
aryl_O_glycoside,0.0,0.001868132970798329,0.0037065196419187366,0.0,0.35149219482944327,0.004296020309202395,0.0,0.0015290907245066843,0.0004930133277755411,0.0014020526228639774,0.0015427929443329917
aryl_sulfate_ester,9.140062985002402e-05,0.00539748271273638,0.006287537848942586,0.002087464271867338,0.0037821511475857866,0.341350181622011,0.0005012238756317562,0.000585653003010922,0.011432680116223693,0.003226232635054679,0.003326150630486884
flavone_core,0.000719688227924094,0.018936764616662095,0.009386599579341152,0.02120048492711485,0.032565082335564266,0.02025563121911029,0.009158951967158867,0.0059636409130855075,0.02977572732119181,0.056416569258930745,0.0409237572052008
n_phenol,0.014065267538449075,0.04250223664442424,0.05995313206195065,0.028885479975823542,0.011636697554257985,0.02941394815615036,0.02888305271442332,0.05771833970357503,0.023586787285418128,0.09989112615987035,0.009865278049262799
n_catechol,0.02787845274663264,0.024464652411570777,0.012589937281927147,0.0012051318593718737,0.016899936913710643,7.175584181136262e-05,0.09945018085542696,0.21313223586128452,0.008645644986314698,0.14756658316741997,0.0027816679601246463
n_gentisate_25_diol,0.0,0.0,0.0012592015576694839,0.0016131633378459866,2.3873389071807807e-16,2.846690675578905e-16,0.0,0.0003022854725076104,9.098552802289204e-05,0.0027533763329055335,0.0006853645836094952
n_guaiacyl,0.15408586975105962,0.02542657694554968,0.007351826011019164,0.0024145300543545996,0.011969188206595417,0.002223915825016386,0.0,0.01867057012738566,0.010399523598656066,0.021996338355003475,0.001258618806950668
n_syringyl,0.014644146929346792,0.0005304054069083213,0.00324873339835123,0.0004407478452672286,1.766939893931379e-16,1.5872745715537426e-15,0.0,0.0,0.0031504255752503748,0.0014086561264283995,0.0003782809953998559
n_aromatic_methoxy,0.316158803547403,0.033907152969334706,0.005452016283027253,0.0014494708963392869,0.027355000934073004,0.006507434561091353,0.006242001786304222,0.019171744136343625,0.013144285675905134,0.014443149261427554,0.0032725243976905525
n_monophenol_para,0.006943073543332803,0.009914774936799238,0.11417974779168433,0.010289047854630497,0.0030557753072183295,0.05551090197495906,0.0007917066081047187,0.006126719991087309,0.013719526357989063,0.012153939843298912,0.007361776919063295
n_carboxylic_acid,0.0002097794530549782,0.04315467803073444,0.01061708279757263,0.10266101385512133,0.021727618072561853,0.005435504934817694,0.029786435005502817,0.003371262412930438,0.05781587179790146,0.007426723295372513,0.0758898078813233
n_benzoic_acid,0.00018561449137419954,0.010612875451469654,0.0037572236766370342,0.2185899272743162,0.0034815150243106122,0.008439588876167886,0.005274857307789189,0.0019989099986116392,0.01032632306020748,0.002171959638133339,0.030148988052938187
